kws_method,semantic_similarity,cutoff_threshold,weighting_factor,map@25,map@50
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,,0.6000000000000001,91.706841990812,85.73419873069338
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,,0.6000000000000001,96.03598465855374,89.64398443274511
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,,0.6000000000000001,90.74833299693762,84.96211472138079
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,0.6000000000000001,96.44275827233147,89.9897104102817
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,,0.7000000000000001,93.07019993616385,87.02171660962836
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,,0.7000000000000001,96.49987097386463,89.97234592703268
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,,0.7000000000000001,93.20077863377595,87.06608387223392
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,,0.7000000000000001,96.30016878354878,89.78847316364477
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,,0.7000000000000001,92.87284914809216,86.92317179002737
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,0.7000000000000001,96.59245770757943,90.17173155759062
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,,0.8,94.0927394766929,87.9833705684699
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,,0.8,96.27195274784631,89.85536021769386
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,,0.8,93.9605813132355,87.84039110808584
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,,0.8,96.1016816895888,89.74751496116173
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,,0.8,94.01105292395161,87.91410993581975
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,0.8,96.1852553355519,89.8178571269692
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,,0.9,94.67745400935618,88.6198425943301
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,,0.9,95.90015922941677,89.67127540841724
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,,0.9,94.50947820226315,88.42749318405848
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,,0.9,95.79554990108647,89.50892734768131
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,,0.9,94.5775865325282,88.55036837980245
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,0.9,95.83434623927934,89.60437778287837
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,,1.0,94.30567073677724,88.29031771332264
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,,1.0,94.30567073677726,88.29031771332264
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,,1.0,94.30567073677726,88.29031771332264
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,,1.0,94.30567073677726,88.29031771332264
