kws_method,semantic_similarity,weighting_factor,map@25,map@25_std,map@50,map@50_std
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.30000000000000004,65.42547884154573,,59.77986388260997,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.30000000000000004,58.175122666026525,,52.96777345497554,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.30000000000000004,64.47095418812597,,58.88421876537271,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.30000000000000004,55.94785533052049,,50.99103286731578,
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.30000000000000004,66.71496945301561,,61.030217361431795,
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.30000000000000004,61.2799572151339,,55.7289313586875,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.4,67.83979996243852,,61.98595493340362,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.4,63.695449108447946,,57.97204148211542,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.4,67.17110551003539,,61.33471254912137,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.4,60.26148401104794,,54.99482161608834,
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.4,68.69925714449643,,62.848536952188596,
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.4,64.82703541073613,,59.047596599331264,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.5,71.22986723998842,,65.12147786782488,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.5,69.23933713082816,,62.94663946325636,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.5,70.68206214402694,,64.57492054395844,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.5,65.94711899748852,,60.1895445969101,
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.5,71.2751707608559,,65.11080896102798,
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.5,69.44971679430778,,63.24933369358171,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.6000000000000001,74.72658592026116,,68.33000191081605,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.6000000000000001,73.85780607218494,,67.22197237490053,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.6000000000000001,74.03999824047132,,67.65714375305627,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.6000000000000001,71.36158422571391,,65.13459006415742,
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.6000000000000001,74.29235514134984,,67.86998864659691,
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.6000000000000001,73.53774077131794,,66.94130601774592,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.7000000000000001,77.8719685469675,,71.2914958368208,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.7000000000000001,77.55009910591622,,70.81583006649993,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.7000000000000001,77.68240477525995,,71.05216857625439,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.7000000000000001,75.86861500198,,69.30358647423903,
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.7000000000000001,77.51248172892983,,70.89865269831954,
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.7000000000000001,77.39671622682083,,70.68357927481966,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.8,80.77340013323867,,74.02145444287311,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.8,80.01299522776905,,73.2147451660138,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.8,80.5889393860093,,73.77285761701935,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.8,79.29250608803878,,72.62160907012296,
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.8,80.97030085984828,,74.21996885127295,
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.8,80.38883377751117,,73.54761077643218,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.9,82.12001351734716,,75.43319674645474,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.9,80.84323992620199,,74.18040137750714,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.9,82.03772131179531,,75.40082029252453,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.9,80.60493767946419,,73.9823561063635,
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.9,81.88055859702253,,75.18119264424666,
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.9,81.159384109096,,74.48665957473366,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,1.0,79.15017194181621,,72.84755978801051,
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,1.0,79.15017194181621,,72.84755978801051,
